Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1/1/00,6.1,0.22,0.48,7.9,3.15,185.73,6.62,14.62,18.67
2/1/00,6.21,0.23,0.48,7.99,3.15,186.83,6.77,14.44,18.7
3/1/00,6.26,0.23,0.48,7.99,3.14,188.34,6.99,14.44,18.78
4/1/00,6.34,0.24,0.48,7.99,3.14,190.74,7.22,14.44,18.94
5/1/00,6.04,0.25,0.48,7.8,3.13,186.15,7.63,14.79,18.4
6/1/00,5.86,0.26,0.48,7.71,3.13,182.83,7.96,14.98,17.99
7/1/00,5.86,0.26,0.48,7.8,3.13,180.6,8.09,14.79,17.69
8/1/00,5.94,0.27,0.48,7.71,3.12,185.33,8.42,14.98,18.07
9/1/00,5.8,0.28,0.48,7.8,3.12,178.75,8.55,14.79,17.34
10/1/00,6.01,0.28,0.48,7.71,3.11,187.51,8.89,14.98,18.1
11/1/00,6.48,0.29,0.48,7.71,3.11,202.18,9.13,14.98,19.42
12/1/00,6.87,0.3,0.48,7.61,3.1,217.02,9.48,15.16,20.74
1/1/01,7.07,0.3,0.48,7.71,3.1,220.58,9.41,15.03,20.98
2/1/01,7.25,0.3,0.48,7.61,3.11,229.03,9.58,15.27,21.68
3/1/01,7.51,0.3,0.48,7.61,3.11,237.24,9.63,15.32,22.35
4/1/01,8.14,0.31,0.49,7.52,3.12,260.4,9.81,15.57,24.41
5/1/01,7.73,0.31,0.49,7.52,3.13,247.28,9.86,15.62,23.06
6/1/01,8.5,0.31,0.49,7.52,3.13,271.91,9.92,15.68,25.24
7/1/01,7.93,0.31,0.49,7.61,3.14,250.51,9.85,15.53,23.14
8/1/01,8.04,0.31,0.49,7.71,3.15,250.85,9.77,15.39,23.08
9/1/01,8,0.32,0.49,7.8,3.15,246.56,9.71,15.26,22.59
10/1/01,7.91,0.32,0.5,7.8,3.16,243.78,9.76,15.31,22.25
11/1/01,8.08,0.32,0.5,7.9,3.17,246.02,9.69,15.17,22.38
12/1/01,7.95,0.32,0.5,7.99,3.17,239.18,9.63,15.04,21.68
