	text
0	iShares Russell 1000 ETF (IWB) Shares Bought by James Investment Research Inc.  https://t.co/HtJADqRXCy
1	Donald L. Hagan LLC Sells 7,820 Shares of iShares Russell 1000 Growth ETF (IWF)  https://t.co/pzUFibGZDn
2	iShares Russell Mid-Cap ETF (IWR) Shares Bought by Horan Securities Inc.  https://t.co/AhOcWS4jMy
3	Eukles Asset Management Buys Shares of 8,529 iShares Russell 2000 Value ETF (IWN)  https://t.co/StSfquRzie
4	iShares Russell 2000 ETF (IWM) Shares Bought by Truewealth LLC  https://t.co/4iji4TTVCZ
5	iShares Russell 2000 Growth ETF $IWO Stake Reduced by Ayalon Holdings Ltd. https://t.co/1irWJvKXuw
6	iShares Russell 3000 Value Index (IUSV) Holdings Increased by Gradient Investments LLC  https://t.co/E40GOYtczp
7	Landsberg Bennett &amp; Dubbaneh LLC Buys New Stake in iShares Russell 2000 ETF (IWM)  https://t.co/CSg7TNov6g
8	2,834 Shares in iShares Russell 2000 ETF (IWM) Purchased by Guidant Wealth Advisors  https://t.co/XK6rfDaTXQ
9	Reinhart Partners Inc. Takes Position in iShares Russell Mid-Cap Value ETF $IWS https://t.co/UFKKIedIbo
10	Investors Sell Shares of iShares Russell 1000 Value ETF $IWD on Strength $IWD https://t.co/3sse7X0xop
11	Traders Sell iShares Russell 1000 Value ETF $IWD on Strength $IWD https://t.co/TyZpyZP66w
12	and the iShares Russell 2000 ETF (IWM, -$1.2 billion). The iShares iBoxx $Investment Grade Bond ETF (LQD, +$1.0 bil… https://t.co/DfZGfhN2Te
13	Gemmer Asset Management LLC Raises Position in iShares Russell 2000 ETF (IWM)  https://t.co/wuuCzdkPhY
14	iShares Russell 1000 Growth ETF (IWF) Stake Lessened by Davis R M Inc. - Fairfield Current https://t.co/ztJbOO2UGK https://t.co/07bCzZEMMU
15	Fusion Family Wealth LLC Acquires 232 Shares of iShares Russell 1000 Growth ETF (IWF) - Fairfield Current… https://t.co/qP0ugjWaHK
16	Nisa Investment Advisors LLC Invests $6.26 Million in iShares Russell 3000 ETF (IWV)  https://t.co/f3hF4QLr7d
17	iShares Russell 1000 Growth ETF (IWF) Stake Lessened by Davis R M Inc.  https://t.co/CZekfOTzI2
18	iShares Russell 1000 Growth ETF (IWF) is Polaris Greystone Financial Group LLC’s 8th Largest Position  https://t.co/xfZKSFhQ42
19	"$IWM iShares Russell 2000 ETF https://t.co/1ZsUMH2TZh
 
Support      147.22   147.18   144.70   144.50   144.25   1… https://t.co/jvWndffwkk"
20	Truewealth LLC Buys 15,504 Shares of iShares Russell 1000 Value ETF (IWD)  https://t.co/VlNhJ6W6BZ
21	iShares Russell 1000 Value ETF (IWD) Stake Lifted by Personal Capital Advisors Corp  https://t.co/E9nXkZGB15
22	iShares Russell 1000 Growth ETF (IWF) Position Lifted by Personal Capital Advisors Corp - Fairfield Current… https://t.co/9XZyC5geCP
23	Steward Partners Investment Advisory LLC Has $1.73 Million Holdings in iShares Russell 2000 Value ETF (IWN)  https://t.co/AHqzYsYaMt
24	Hamlin Capital Management LLC Purchases Shares of 41,095 iShares Russell 1000 Value ETF (IWD)  https://t.co/6isBx28Z1O
25	iShares Russell 2000 ETF (IWM) Shares Sold by Evanson Asset Management LLC  https://t.co/u265WPAE7K
26	We Did The Math And The iShares Russell Top 200 Growth ETF Can Go To $87 For the iShares Russell Top 200 Growth ETF… https://t.co/QYrzKvFLBm
27	Short Interest in iShares Russell 1000 Value ETF (IWD) Expands By 79.7%  https://t.co/t5K60MCJEh
28	Truewealth LLC Sells 406 Shares of iShares Russell 2000 Value ETF (IWN)  https://t.co/bgql4fPuyV
29	Fusion Family Wealth LLC Takes $33,000 Position in iShares Russell 1000 Value ETF (IWD)  https://t.co/7DXk9elITr
30	Guidant Wealth Advisors Invests $278,000 in iShares Russell 1000 Value ETF (IWD)  https://t.co/CjPANR5qzN
31	iShares Russell 3000 ETF (IWV) Shares Sold by First Command Bank  https://t.co/OqjfTJzZDQ
32	iShares Russell 2000 ETF (IWM) Stake Boosted by Moller Financial Services  https://t.co/ZWktdzz9Ly
33	BlackRock Inc. Raises Holdings in iShares Russell 2000 Growth ETF (IWO)  https://t.co/mNw9nDiMk1
34	iShares Russell Mid-Cap ETF (IWR) Holdings Boosted by Bangor Savings Bank  https://t.co/Pg80YqtvQa
35	How The Parts Add Up: The iShares Russell 1000 Growth ETF Headed For $159 For the iShares Russell 1000 Growth ETF,… https://t.co/du2pkAEAeR
36	"INVESTMENT IDEA
#IWR iShares Russell Mid-Cap ETF ""seeks to track the investment results of an index composed of mid… https://t.co/luncr6XSt4"
37	Polaris Greystone Financial Group LLC Acquires 821 Shares of iShares Russell 3000 ETF (IWV)  https://t.co/FwsLUR3Tjr
38	iShares Russell 1000 ETF (IWB) Position Trimmed by Quadrant Capital Group LLC  https://t.co/fl8O6jYHZs
